Date Time Served,Bar Name,Alcohol Type,Brand Name,Opening Balance (ml),Purchase (ml),Consumed (ml),Closing Balance (ml)
1/4/2023 20:51,Thomas's Bar,Beer,Budweiser,668.87,1339.48,461.73,1546.62
1/5/2023 13:00,Smith's Bar,Beer,Miller,1953.63,1921.59,381,3494.22
1/5/2023 10:52,Smith's Bar,Wine,Yellow Tail,1344.37,1841.73,419.96,2766.14
1/5/2023 16:50,Johnson's Bar,Beer,Heineken,2754.41,810.27,129.85,3434.83
1/5/2023 15:46,Johnson's Bar,Rum,Malibu,2915.08,0,275.18,2639.9
1/5/2023 13:39,Johnson's Bar,Whiskey,Jack Daniels,2272.9,0,450.63,1822.27
1/5/2023 17:38,Johnson's Bar,Wine,Barefoot,806.77,1151.42,530.4,1427.79
1/5/2023 21:19,Brown's Bar,Wine,Yellow Tail,2256.57,0,552.5,1704.07
1/5/2023 11:52,Brown's Bar,Beer,Miller,562.38,1733.4,135.16,2160.62
1/5/2023 18:50,Brown's Bar,Vodka,Absolut,1117.41,0,575.68,541.73
1/5/2023 14:32,Brown's Bar,Whiskey,Jack Daniels,1848.69,996.16,468.93,2375.92
1/5/2023 12:48,Taylor's Bar,Beer,Heineken,398.16,0,398.16,0
1/5/2023 14:55,Taylor's Bar,Rum,Malibu,1110.96,0,409.14,701.82
1/5/2023 16:15,Taylor's Bar,Vodka,Absolut,1202.52,0,269.68,932.84
1/5/2023 18:31,Taylor's Bar,Whiskey,Jack Daniels,2254.32,0,170.08,2084.24
1/5/2023 16:46,Anderson's Bar,Whiskey,Jim Beam,2420.06,0,420.18,1999.88
1/5/2023 21:47,Anderson's Bar,Wine,Yellow Tail,613.87,0,389.08,224.79
1/5/2023 10:10,Anderson's Bar,Vodka,Absolut,1191.3,0,463.2,728.1
1/5/2023 20:58,Thomas's Bar,Vodka,Smirnoff,2013.02,527.19,563.71,1976.5
1/5/2023 22:19,Thomas's Bar,Whiskey,Jameson,1421.05,0,515.65,905.4
1/5/2023 11:43,Thomas's Bar,Wine,Barefoot,921.96,0,530.31,391.65
1/6/2023 11:17,Smith's Bar,Whiskey,Jim Beam,1128.72,0,365.41,763.31
1/6/2023 11:29,Smith's Bar,Vodka,Grey Goose,2437.14,1144.18,450.58,3130.74
1/6/2023 20:56,Johnson's Bar,Beer,Coors,2449.21,0,353.37,2095.84
1/6/2023 15:39,Johnson's Bar,Rum,Malibu,2639.9,0,512.26,2127.64
1/6/2023 10:16,Johnson's Bar,Vodka,Grey Goose,1034.28,0,103.52,930.76
1/6/2023 13:10,Johnson's Bar,Wine,Barefoot,1427.79,0,248.86,1.18E+03
1/6/2023 18:51,Brown's Bar,Vodka,Smirnoff,1065.36,0,407.21,658.15
1/6/2023 18:42,Brown's Bar,Whiskey,Jack Daniels,2375.92,0,231.83,2144.09
1/6/2023 11:51,Brown's Bar,Rum,Bacardi,145.81,0,145.81,0
1/6/2023 20:21,Brown's Bar,Beer,Budweiser,2761.23,1741.01,224.12,4278.12
1/6/2023 17:18,Taylor's Bar,Beer,Coors,1552.45,0,371,1181.45
1/6/2023 19:41,Taylor's Bar,Wine,Barefoot,2592.17,0,264.54,2327.63
1/6/2023 14:19,Taylor's Bar,Rum,Captain Morgan,721.76,0,594.98,126.78
1/6/2023 10:07,Taylor's Bar,Whiskey,Jameson,1839.79,0,460.69,1379.1
1/6/2023 11:38,Anderson's Bar,Wine,Sutter Home,3687.18,1943.79,208.44,5422.53
1/6/2023 18:34,Anderson's Bar,Whiskey,Jameson,2194.28,685.6,532.62,2347.26
1/6/2023 22:13,Anderson's Bar,Vodka,Absolut,728.1,0,453.02,275.08
1/6/2023 18:50,Anderson's Bar,Beer,Coors,948.78,980,274.13,1654.65
1/6/2023 19:56,Thomas's Bar,Wine,Barefoot,391.65,0,165.34,226.31
1/6/2023 17:59,Thomas's Bar,Rum,Malibu,2330.76,0,561.15,1769.61
1/6/2023 21:10,Thomas's Bar,Beer,Coors,618.31,0,456.45,161.86
1/6/2023 10:56,Thomas's Bar,Vodka,Grey Goose,1675.85,0,507.09,1168.76
1/7/2023 22:43,Smith's Bar,Whiskey,Jack Daniels,2265.2,0,322.87,1942.33
1/7/2023 10:55,Smith's Bar,Wine,Barefoot,663.38,1855.33,547.18,1971.53
1/7/2023 13:40,Smith's Bar,Beer,Miller,3494.22,965.72,567.69,3892.25
1/7/2023 19:09,Johnson's Bar,Wine,Yellow Tail,802.97,0,415.71,387.26
1/7/2023 13:11,Johnson's Bar,Rum,Captain Morgan,666.19,663.96,120.36,1209.79
1/7/2023 19:55,Johnson's Bar,Whiskey,Jameson,845.64,1495,241.23,2099.41
1/7/2023 12:30,Johnson's Bar,Vodka,Grey Goose,930.76,0,340.91,589.85
1/7/2023 17:20,Brown's Bar,Beer,Coors,2292.18,0,428.46,1863.72
1/7/2023 10:39,Brown's Bar,Rum,Captain Morgan,2330.03,1185.79,360.86,3154.96
1/7/2023 14:01,Taylor's Bar,Whiskey,Jim Beam,2.51E+03,0,494.68,2.01E+03
1/7/2023 15:40,Taylor's Bar,Rum,Malibu,701.82,1383.97,553.38,1532.41
1/7/2023 19:48,Taylor's Bar,Beer,Miller,685.49,0,142.1,543.39
1/7/2023 21:38,Taylor's Bar,Vodka,Grey Goose,3073.92,0,491,2582.92
1/7/2023 12:12,Anderson's Bar,Whiskey,Jameson,2347.26,0,245.43,2101.83
1/7/2023 11:18,Anderson's Bar,Rum,Malibu,1061.57,585.72,175.78,1471.51
1/7/2023 11:28,Thomas's Bar,Wine,Yellow Tail,1344.05,0,567.38,776.67
1/7/2023 20:42,Thomas's Bar,Vodka,Absolut,1837.66,593.47,338.72,2092.41
1/7/2023 22:34,Thomas's Bar,Beer,Coors,161.86,0,161.86,0
1/8/2023 19:30,Smith's Bar,Vodka,Absolut,929.64,0,433.78,495.86
1/8/2023 11:20,Smith's Bar,Wine,Barefoot,1971.53,0,514.55,1456.98
1/8/2023 19:50,Smith's Bar,Beer,Heineken,2969.22,809.52,117.53,3661.21
1/8/2023 14:41,Johnson's Bar,Vodka,Absolut,2583.37,0,224.63,2358.74
1/8/2023 18:08,Johnson's Bar,Rum,Malibu,2127.64,1090.43,580.94,2637.13
1/8/2023 15:47,Johnson's Bar,Wine,Yellow Tail,387.26,0,387.26,5.68E-14
1/8/2023 14:18,Johnson's Bar,Beer,Miller,1721.57,0,527.82,1193.75
1/8/2023 20:22,Brown's Bar,Whiskey,Jim Beam,598.47,0,496.02,102.45
1/8/2023 19:03,Brown's Bar,Vodka,Absolut,541.73,0,411.07,130.66
1/8/2023 14:46,Taylor's Bar,Rum,Captain Morgan,126.78,1736.61,569.99,1.29E+03
1/8/2023 21:03,Taylor's Bar,Beer,Miller,543.39,0,444.16,99.23
1/8/2023 19:26,Taylor's Bar,Vodka,Absolut,932.84,0,139.59,793.25
1/8/2023 19:18,Anderson's Bar,Vodka,Absolut,275.08,0,275.08,1.71E-13
1/8/2023 11:45,Anderson's Bar,Wine,Yellow Tail,224.79,1361.15,379.83,1206.11
1/8/2023 10:04,Anderson's Bar,Whiskey,Jack Daniels,517.61,0,124.16,393.45
1/8/2023 17:14,Anderson's Bar,Rum,Bacardi,1109.09,1166.18,216.8,2058.47
1/8/2023 21:53,Thomas's Bar,Beer,Heineken,2787.13,902.06,513.15,3176.04
1/8/2023 10:35,Thomas's Bar,Wine,Barefoot,226.31,0,226.31,8.53E-14
1/8/2023 18:17,Thomas's Bar,Whiskey,Jim Beam,614.52,0,467.07,147.45
1/8/2023 19:17,Thomas's Bar,Vodka,Grey Goose,1168.76,0,541.14,627.62
1/9/2023 19:43,Smith's Bar,Vodka,Grey Goose,3130.74,1638.06,371.75,4397.05
1/9/2023 20:57,Smith's Bar,Beer,Heineken,3661.21,0,312.29,3348.92
1/9/2023 15:29,Smith's Bar,Rum,Captain Morgan,4379.88,0,143.65,4236.23
1/9/2023 12:56,Smith's Bar,Whiskey,Jim Beam,763.31,0,275.39,487.92
1/9/2023 21:50,Johnson's Bar,Rum,Malibu,2637.13,929.67,417.71,3149.09
1/9/2023 11:50,Johnson's Bar,Whiskey,Jack Daniels,1822.27,0,296.23,1526.04
1/9/2023 21:03,Brown's Bar,Rum,Malibu,1404.4,1718.48,361.04,2761.84
1/9/2023 12:38,Brown's Bar,Vodka,Absolut,130.66,1422.51,160.65,1392.52
1/9/2023 13:49,Brown's Bar,Beer,Coors,1.86E+03,0,444.47,1.42E+03
1/9/2023 16:31,Brown's Bar,Whiskey,Jameson,1907.61,0,586.74,1320.87
1/9/2023 17:02,Taylor's Bar,Wine,Yellow Tail,1048.26,0,393.76,654.5
1/9/2023 14:20,Taylor's Bar,Rum,Bacardi,2470.99,0,560.29,1910.7
1/9/2023 10:26,Taylor's Bar,Vodka,Smirnoff,1068.58,0,412.94,655.64
1/9/2023 19:54,Taylor's Bar,Whiskey,Jim Beam,2010.49,1314.69,286.31,3038.87
1/9/2023 20:37,Anderson's Bar,Whiskey,Jameson,2101.83,763.79,477.28,2388.34
1/9/2023 22:07,Anderson's Bar,Vodka,Grey Goose,2085.92,0,284.28,1801.64
1/9/2023 10:35,Anderson's Bar,Beer,Budweiser,2312.98,0,159.07,2153.91
1/9/2023 19:36,Anderson's Bar,Rum,Malibu,1471.51,0,181.31,1290.2
1/9/2023 10:49,Thomas's Bar,Rum,Malibu,1769.61,0,499.28,1270.33
1/9/2023 21:23,Thomas's Bar,Beer,Budweiser,1546.62,0,417.93,1128.69
1/9/2023 10:09,Thomas's Bar,Whiskey,Jameson,905.4,0,517.22,3.88E+02
1/9/2023 19:09,Thomas's Bar,Wine,Yellow Tail,776.67,0,433.11,343.56
1/10/2023 19:41,Smith's Bar,Rum,Captain Morgan,4236.23,1425.11,297.1,5364.24
1/10/2023 17:19,Smith's Bar,Vodka,Grey Goose,4397.05,0,295.39,4101.66
1/10/2023 20:23,Smith's Bar,Wine,Barefoot,1456.98,0,539.08,917.9
1/10/2023 20:13,Smith's Bar,Beer,Coors,2.79E+03,1416.82,583.52,3.62E+03
1/10/2023 11:17,Johnson's Bar,Whiskey,Jim Beam,512.7,0,192.84,319.86
1/10/2023 19:01,Johnson's Bar,Rum,Bacardi,2158.89,609.4,527.11,2241.18
1/10/2023 21:16,Johnson's Bar,Vodka,Smirnoff,1234.07,1698.33,125.88,2806.52
1/10/2023 22:00,Johnson's Bar,Beer,Heineken,3434.83,0,482.49,2952.34
1/10/2023 10:10,Brown's Bar,Wine,Barefoot,2182.12,0,233.35,1948.77
1/10/2023 12:19,Brown's Bar,Vodka,Grey Goose,3792.55,0,461.16,3331.39
1/10/2023 12:18,Brown's Bar,Whiskey,Jack Daniels,2144.09,1055.25,400.32,2799.02
1/10/2023 11:48,Brown's Bar,Beer,Heineken,3368.56,1574.01,280.87,4661.7
1/10/2023 12:22,Taylor's Bar,Wine,Sutter Home,2343.94,0,121.83,2222.11
1/10/2023 18:50,Taylor's Bar,Whiskey,Jack Daniels,2084.24,0,237.54,1846.7
1/10/2023 16:10,Anderson's Bar,Vodka,Smirnoff,2364.82,0,491.89,1872.93
1/10/2023 14:45,Anderson's Bar,Beer,Heineken,2000.85,0,440.59,1560.26
1/10/2023 17:51,Thomas's Bar,Vodka,Smirnoff,1976.5,0,183.93,1792.57
1/10/2023 11:10,Thomas's Bar,Rum,Bacardi,3015.12,0,488.68,2526.44
1/11/2023 16:04,Smith's Bar,Whiskey,Jim Beam,487.92,0,487.92,0
1/11/2023 10:12,Smith's Bar,Vodka,Smirnoff,1577.23,0,188.58,1388.65
1/11/2023 17:35,Smith's Bar,Rum,Bacardi,1291.56,0,169.28,1122.28
1/11/2023 22:09,Smith's Bar,Beer,Coors,3622.58,0,212.59,3409.99
1/11/2023 18:14,Johnson's Bar,Whiskey,Jim Beam,319.86,0,319.86,0
1/11/2023 11:51,Johnson's Bar,Vodka,Grey Goose,589.85,0,216.14,373.71
1/11/2023 17:12,Johnson's Bar,Wine,Barefoot,1178.93,878.07,168.94,1888.06
1/11/2023 22:44,Brown's Bar,Whiskey,Jack Daniels,2799.02,0,371.07,2427.95
1/11/2023 18:27,Brown's Bar,Wine,Barefoot,1948.77,1178.11,443.52,2683.36
1/11/2023 12:31,Taylor's Bar,Wine,Yellow Tail,654.5,0,209,445.5
1/11/2023 14:20,Taylor's Bar,Rum,Malibu,1532.41,0,388.22,1144.19
1/11/2023 16:40,Taylor's Bar,Beer,Budweiser,2433.56,0,472.06,1961.5
1/11/2023 10:46,Taylor's Bar,Whiskey,Jameson,1379.1,0,107.38,1271.72
1/11/2023 15:03,Anderson's Bar,Whiskey,Jameson,2388.34,0,286.29,2102.05
1/11/2023 21:44,Anderson's Bar,Vodka,Absolut,1.71E-13,0,0,1.71E-13
1/11/2023 12:38,Anderson's Bar,Beer,Miller,1963.7,0,484.08,1479.62
1/11/2023 20:29,Anderson's Bar,Wine,Yellow Tail,1206.11,0,511.07,695.04
1/11/2023 20:02,Thomas's Bar,Wine,Yellow Tail,343.56,1954.5,289.79,2008.27
1/11/2023 11:14,Thomas's Bar,Whiskey,Jim Beam,147.45,936.12,277.32,806.25
1/11/2023 16:55,Thomas's Bar,Beer,Coors,0,0,0,0
1/11/2023 11:11,Thomas's Bar,Vodka,Absolut,2092.41,1948.38,502.16,3538.63
1/12/2023 16:28,Smith's Bar,Rum,Malibu,2903.19,906.33,120.9,3688.62
1/12/2023 14:30,Smith's Bar,Vodka,Grey Goose,4101.66,0,483.52,3618.14
1/12/2023 12:25,Smith's Bar,Beer,Coors,3409.99,0,205.42,3204.57
1/12/2023 19:52,Johnson's Bar,Whiskey,Jameson,2099.41,0,491.69,1607.72
1/12/2023 19:06,Johnson's Bar,Beer,Miller,1193.75,0,120.57,1073.18
1/12/2023 11:48,Johnson's Bar,Wine,Sutter Home,2280.59,0,245.81,2034.78
1/12/2023 17:48,Johnson's Bar,Rum,Malibu,3149.09,0,457.14,2691.95
1/12/2023 14:01,Brown's Bar,Wine,Sutter Home,835.25,0,288.22,547.03
1/12/2023 17:48,Brown's Bar,Whiskey,Jack Daniels,2427.95,1080.55,579.32,2929.18
1/12/2023 12:33,Brown's Bar,Rum,Malibu,2761.84,1646.21,399.42,4008.63
1/12/2023 20:20,Taylor's Bar,Vodka,Absolut,793.25,0,301,492.25
1/12/2023 10:51,Taylor's Bar,Wine,Sutter Home,2222.11,0,342.47,1879.64
1/12/2023 13:20,Taylor's Bar,Rum,Captain Morgan,1293.4,0,598.16,695.24
1/12/2023 12:25,Anderson's Bar,Whiskey,Jameson,2102.05,0,457.35,1644.7
1/12/2023 20:32,Anderson's Bar,Rum,Malibu,1290.2,0,377.36,912.84
1/12/2023 20:41,Anderson's Bar,Vodka,Smirnoff,1872.93,0,592.18,1280.75
1/12/2023 14:55,Thomas's Bar,Whiskey,Jack Daniels,512.53,0,270.47,242.06
1/12/2023 21:00,Thomas's Bar,Wine,Barefoot,8.53E-14,0,0,8.53E-14
1/12/2023 13:21,Thomas's Bar,Vodka,Grey Goose,627.62,0,114.05,513.57
1/12/2023 11:26,Thomas's Bar,Beer,Budweiser,1128.69,0,517.64,611.05
1/13/2023 17:40,Smith's Bar,Beer,Miller,3892.25,0,387.11,3505.14
1/13/2023 14:29,Smith's Bar,Vodka,Smirnoff,1388.65,0,267.05,1121.6
1/13/2023 19:17,Smith's Bar,Whiskey,Jim Beam,0,0,0,0
1/13/2023 22:00,Smith's Bar,Rum,Malibu,3688.62,0,449.08,3239.54
1/13/2023 15:54,Johnson's Bar,Beer,Budweiser,1705.11,0,146.62,1558.49
1/13/2023 20:59,Johnson's Bar,Rum,Malibu,2691.95,0,339.34,2352.61
1/13/2023 12:57,Johnson's Bar,Vodka,Smirnoff,2806.52,0,295.16,2511.36
1/13/2023 15:41,Brown's Bar,Vodka,Grey Goose,3331.39,0,245.09,3086.3
1/13/2023 18:09,Brown's Bar,Rum,Bacardi,0,0,0,0
1/13/2023 20:07,Brown's Bar,Wine,Barefoot,2683.36,0,287.85,2395.51
1/13/2023 22:04,Brown's Bar,Beer,Budweiser,4.28E+03,0,451.47,3.83E+03
1/13/2023 21:58,Taylor's Bar,Wine,Barefoot,2327.63,1237.33,409.76,3155.2
1/13/2023 17:30,Taylor's Bar,Beer,Budweiser,1961.5,0,504.61,1456.89
1/13/2023 14:31,Taylor's Bar,Whiskey,Jack Daniels,1846.7,0,448.96,1397.74
1/13/2023 16:59,Anderson's Bar,Rum,Captain Morgan,2798.23,0,327.75,2470.48
1/13/2023 10:15,Anderson's Bar,Vodka,Grey Goose,1801.64,1804.49,274.49,3331.64
1/13/2023 17:21,Anderson's Bar,Whiskey,Jim Beam,2.00E+03,722.2,424.82,2.30E+03
1/13/2023 19:20,Anderson's Bar,Wine,Barefoot,2398.21,1021.74,423.44,2996.51
1/13/2023 18:37,Thomas's Bar,Beer,Heineken,3176.04,0,269.83,2906.21
1/13/2023 22:55,Thomas's Bar,Wine,Yellow Tail,2008.27,0,170.15,1838.12
1/13/2023 20:48,Thomas's Bar,Rum,Malibu,1270.33,0,309.17,961.16
1/13/2023 14:18,Thomas's Bar,Whiskey,Jameson,388.18,0,388.18,0
1/14/2023 21:24,Smith's Bar,Wine,Yellow Tail,2766.14,659.29,269.96,3155.47
1/14/2023 21:21,Smith's Bar,Rum,Captain Morgan,5364.24,793.1,171.76,5985.58
1/14/2023 22:59,Johnson's Bar,Beer,Heineken,2952.34,0,504.9,2447.44
1/14/2023 16:22,Johnson's Bar,Whiskey,Jack Daniels,1526.04,1493.41,258.6,2760.85
1/14/2023 17:38,Johnson's Bar,Vodka,Absolut,2358.74,767.08,270.34,2855.48
1/14/2023 14:27,Johnson's Bar,Wine,Barefoot,1888.06,1334.03,129.77,3092.32
1/14/2023 22:58,Brown's Bar,Beer,Coors,1419.25,0,167.73,1251.52
1/14/2023 11:48,Brown's Bar,Whiskey,Jim Beam,102.45,0,102.45,4.26E-14
1/14/2023 20:05,Taylor's Bar,Wine,Yellow Tail,445.5,0,445.5,0
1/14/2023 21:33,Taylor's Bar,Rum,Bacardi,1.91E+03,0,345.72,1.56E+03
1/14/2023 11:40,Taylor's Bar,Beer,Budweiser,1456.89,547.69,476.04,1528.54
1/14/2023 19:20,Anderson's Bar,Rum,Captain Morgan,2470.48,0,1097.26,1373.22
1/14/2023 17:11,Anderson's Bar,Vodka,Grey Goose,3331.64,0,810.42,2521.22
1/14/2023 13:09,Anderson's Bar,Beer,Coors,1654.65,0,164.89,1489.76
1/14/2023 13:35,Thomas's Bar,Wine,Barefoot,8.53E-14,1161,130.24,1030.76
1/14/2023 16:50,Thomas's Bar,Rum,Captain Morgan,749.76,1208,470.49,1487.27
1/14/2023 12:47,Thomas's Bar,Whiskey,Jameson,0,0,0,0
1/15/2023 17:12,Smith's Bar,Beer,Coors,3204.57,0,183.73,3020.84
1/15/2023 13:15,Smith's Bar,Whiskey,Jack Daniels,1942.33,0,570.23,1372.1
1/15/2023 10:51,Smith's Bar,Rum,Bacardi,1122.28,0,423.62,698.66
1/15/2023 13:07,Smith's Bar,Wine,Yellow Tail,3155.47,0,216.53,2938.94
1/15/2023 20:37,Johnson's Bar,Vodka,Absolut,2855.48,0,360.28,2495.2
1/15/2023 16:24,Johnson's Bar,Wine,Yellow Tail,5.68E-14,0,0,5.68E-14
1/15/2023 13:23,Johnson's Bar,Rum,Bacardi,2241.18,0,581,1660.18
1/15/2023 18:49,Johnson's Bar,Beer,Miller,1073.18,0,419.76,653.42
1/15/2023 11:09,Brown's Bar,Whiskey,Jameson,1320.87,0,226.99,1093.88
1/15/2023 21:07,Brown's Bar,Beer,Heineken,4661.7,650.77,379.86,4932.61
1/15/2023 12:17,Brown's Bar,Wine,Sutter Home,547.03,0,478.09,68.94
1/15/2023 14:59,Brown's Bar,Rum,Bacardi,0,1536.52,312.12,1224.4
1/15/2023 13:14,Taylor's Bar,Vodka,Smirnoff,655.64,0,143.79,511.85
1/15/2023 19:47,Taylor's Bar,Beer,Coors,1181.45,0,206.93,974.52
1/15/2023 20:17,Taylor's Bar,Wine,Yellow Tail,0,0,0,0
1/15/2023 12:42,Anderson's Bar,Vodka,Smirnoff,1280.75,1880.56,296.97,2864.34
1/15/2023 15:03,Anderson's Bar,Beer,Heineken,1.56E+03,1438.61,218.82,2.78E+03
1/15/2023 17:27,Anderson's Bar,Wine,Barefoot,2996.51,0,219.63,2776.88
1/15/2023 16:21,Anderson's Bar,Rum,Captain Morgan,1373.22,0,532.94,840.28
1/15/2023 11:18,Thomas's Bar,Rum,Malibu,961.16,0,503.33,457.83
1/15/2023 19:31,Thomas's Bar,Vodka,Smirnoff,1792.57,0,257.33,1535.24
1/15/2023 22:30,Thomas's Bar,Whiskey,Jameson,0,0,0,0
1/15/2023 17:57,Thomas's Bar,Wine,Sutter Home,2517.82,0,541.16,1976.66
1/16/2023 17:31,Smith's Bar,Beer,Heineken,3348.92,965.96,133.42,4181.46
